Ngày,Thứ,Nguyên liệu,Số lượng bán (kg),Thời tiết,Ngày lễ
2023-01-01,Sunday,Rau muống,219.0,Nắng,Có
2023-01-01,Sunday,Rau mồng tơi,84.0,Nắng,Có
2023-01-01,Sunday,Rau nhút,61.5,Mưa,Có
2023-01-01,Sunday,Rau răm,280.5,Nắng,Có
2023-01-01,Sunday,Dưa leo,84.0,Mưa,Có
2023-01-01,Sunday,Cà chua bi,58.5,Mưa,Có
2023-01-01,Sunday,Cà chua,51.0,Nắng,Có
2023-01-01,Sunday,Khoai tây,69.0,Mưa,Có
2023-01-01,Sunday,Khoai lang,36.0,Mưa,Có
2023-01-01,Sunday,Khoai mì,7.5,Nắng,Có
2023-01-01,Sunday,Thịt heo,127.5,Mưa,Có
2023-01-01,Sunday,Thịt bò,90.0,Nắng,Có
2023-01-01,Sunday,Thịt lợn,90.0,Mưa,Có
2023-01-01,Sunday,Thịt gà,187.5,Nắng,Có
2023-01-01,Sunday,Thịt cừu,67.5,Nắng,Có
2023-01-01,Sunday,Cá basa,13.5,Mưa,Có
2023-01-01,Sunday,Cá hồi,237.0,Nắng,Có
2023-01-01,Sunday,Cá thu,202.5,Nắng,Có
2023-01-01,Sunday,Cá ngừ,157.5,Nắng,Có
2023-01-01,Sunday,Cá lóc,115.5,Nắng,Có
2023-01-01,Sunday,Tôm sú,64.5,Mưa,Có
2023-01-01,Sunday,Tôm hùm,73.5,Mưa,Có
2023-01-01,Sunday,Mực ống,127.5,Mưa,Có
2023-01-01,Sunday,Mực nang,73.5,Mưa,Có
2023-01-01,Sunday,Cua đồng,27.0,Nắng,Có
2023-01-01,Sunday,Cua biển,67.5,Nắng,Có
2023-01-01,Sunday,Sườn cốt lết,282.0,Nắng,Có
2023-01-01,Sunday,Sườn non,126.0,Mưa,Có
2023-01-01,Sunday,Thăn heo,108.0,Mưa,Có
2023-01-01,Sunday,Thịt ba chỉ,88.5,Mưa,Có
2023-01-01,Sunday,Rau cải,33.0,Mưa,Có
2023-01-01,Sunday,Rau ngót,33.0,Mưa,Có
2023-01-01,Sunday,Rau đay,55.5,Mưa,Có
2023-01-01,Sunday,Rau dền,64.5,Mưa,Có
2023-01-01,Sunday,Rau má,262.5,Nắng,Có
2023-01-01,Sunday,Rau thơm,79.5,Nắng,Có
2023-01-01,Sunday,Rau húng,210.0,Nắng,Có
2023-01-01,Sunday,Rau quế,286.5,Nắng,Có
2023-01-01,Sunday,Rau mùi,228.0,Nắng,Có
2023-01-01,Sunday,Rau tía tô,22.5,Nắng,Có
2023-01-01,Sunday,Cà rốt,163.5,Nắng,Có
2023-01-01,Sunday,Củ cải trắng,33.0,Mưa,Có
2023-01-01,Sunday,Củ cải đỏ,100.5,Nắng,Có
2023-01-01,Sunday,Bí đỏ,129.0,Nắng,Có
2023-01-01,Sunday,Bí xanh,87.0,Nắng,Có
2023-01-01,Sunday,Bí đao,159.0,Nắng,Có
2023-01-01,Sunday,Bí ngô,63.0,Mưa,Có
2023-01-01,Sunday,Bí phấn,36.0,Nắng,Có
2023-01-01,Sunday,Bí đao,172.5,Nắng,Có
2023-01-01,Sunday,Bí ngô,43.5,Mưa,Có
2023-01-01,Sunday,Thịt vịt,264.0,Nắng,Có
2023-01-01,Sunday,Thịt ngan,52.5,Mưa,Có
2023-01-01,Sunday,Thịt ngỗng,196.5,Nắng,Có
2023-01-01,Sunday,Thịt chim,34.5,Nắng,Có
2023-01-01,Sunday,Thịt thỏ,111.0,Mưa,Có
2023-01-01,Sunday,Thịt nai,85.5,Mưa,Có
2023-01-01,Sunday,Thịt đà điểu,24.0,Mưa,Có
2023-01-01,Sunday,Thịt trâu,22.5,Mưa,Có
2023-01-01,Sunday,Thịt dê,42.0,Nắng,Có
2023-01-01,Sunday,Thịt heo rừng,210.0,Nắng,Có
2023-01-01,Sunday,Cá chép,60.0,Mưa,Có
2023-01-01,Sunday,Cá rô phi,121.5,Mưa,Có
2023-01-01,Sunday,Cá trê,70.5,Nắng,Có
2023-01-01,Sunday,Cá bống,157.5,Nắng,Có
2023-01-01,Sunday,Cá cơm,16.5,Nắng,Có
2023-01-01,Sunday,Cá kèo,70.5,Mưa,Có
2023-01-01,Sunday,Cá linh,190.5,Nắng,Có
2023-01-01,Sunday,Cá lăng,127.5,Mưa,Có
2023-01-01,Sunday,Cá mè,61.5,Mưa,Có
2023-01-01,Sunday,Cá trắm,51.0,Mưa,Có
2023-01-01,Sunday,Tôm càng xanh,24.0,Mưa,Có
2023-01-01,Sunday,Tôm đất,97.5,Mưa,Có
2023-01-01,Sunday,Tôm thẻ,52.5,Mưa,Có
2023-01-01,Sunday,Tôm bạc,40.5,Mưa,Có
2023-01-01,Sunday,Mực lá,222.0,Nắng,Có
2023-01-01,Sunday,Mực trứng,148.5,Mưa,Có
2023-01-01,Sunday,Mực cơm,4.5,Nắng,Có
2023-01-01,Sunday,Mực sữa,94.5,Mưa,Có
2023-01-01,Sunday,Cua gạch,9.0,Mưa,Có
2023-01-01,Sunday,Cua thịt,118.5,Nắng,Có
2023-01-01,Sunday,Sườn heo,177.0,Nắng,Có
2023-01-01,Sunday,Sườn bò,108.0,Mưa,Có
2023-01-01,Sunday,Thăn bò,42.0,Mưa,Có
2023-01-01,Sunday,Thịt bò bắp,267.0,Nắng,Có
2023-01-01,Sunday,Thịt bò gân,72.0,Nắng,Có
2023-01-01,Sunday,Thịt bò phi lê,85.5,Mưa,Có
2023-01-01,Sunday,Thịt bò xay,13.5,Mưa,Có
2023-01-01,Sunday,Thịt bò nạc,181.5,Nắng,Có
2023-01-01,Sunday,Thịt bò ba chỉ,1.5,Mưa,Có
2023-01-01,Sunday,Thịt bò thăn nội,18.0,Mưa,Có
2023-01-02,Monday,Rau muống,159.0,Nắng,Không
2023-01-02,Monday,Rau mồng tơi,95.0,Nắng,Không
2023-01-02,Monday,Rau nhút,198.0,Nắng,Không
2023-01-02,Monday,Rau răm,43.0,Mưa,Không
2023-01-02,Monday,Dưa leo,36.0,Mưa,Không
2023-01-02,Monday,Cà chua bi,81.0,Mưa,Không
2023-01-02,Monday,Cà chua,84.0,Mưa,Không
2023-01-02,Monday,Khoai tây,42.0,Mưa,Không
2023-01-02,Monday,Khoai lang,93.0,Mưa,Không
2023-01-02,Monday,Khoai mì,96.0,Mưa,Không
2023-01-02,Monday,Thịt heo,85.0,Nắng,Không
2023-01-02,Monday,Thịt bò,54.0,Mưa,Không
2023-01-02,Monday,Thịt lợn,62.0,Mưa,Không
2023-01-02,Monday,Thịt gà,34.0,Nắng,Không
2023-01-02,Monday,Thịt cừu,199.0,Nắng,Không
2023-01-02,Monday,Cá basa,125.0,Nắng,Không
2023-01-02,Monday,Cá hồi,84.0,Nắng,Không
2023-01-02,Monday,Cá thu,65.0,Nắng,Không
2023-01-02,Monday,Cá ngừ,137.0,Nắng,Không
2023-01-02,Monday,Cá lóc,34.0,Mưa,Không
2023-01-02,Monday,Tôm sú,37.0,Mưa,Không
2023-01-02,Monday,Tôm hùm,115.0,Nắng,Không
2023-01-02,Monday,Mực ống,23.0,Nắng,Không
2023-01-02,Monday,Mực nang,94.0,Nắng,Không
2023-01-02,Monday,Cua đồng,69.0,Mưa,Không
2023-01-02,Monday,Cua biển,91.0,Mưa,Không
2023-01-02,Monday,Sườn cốt lết,92.0,Mưa,Không
2023-01-02,Monday,Sườn non,63.0,Mưa,Không
2023-01-02,Monday,Thăn heo,83.0,Mưa,Không
2023-01-02,Monday,Thịt ba chỉ,196.0,Nắng,Không
2023-01-02,Monday,Rau cải,18.0,Nắng,Không
2023-01-02,Monday,Rau ngót,53.0,Mưa,Không
2023-01-02,Monday,Rau đay,48.0,Mưa,Không
2023-01-02,Monday,Rau dền,88.0,Mưa,Không
2023-01-02,Monday,Rau má,104.0,Nắng,Không
2023-01-02,Monday,Rau thơm,3.0,Nắng,Không
2023-01-02,Monday,Rau húng,60.0,Nắng,Không
2023-01-02,Monday,Rau quế,40.0,Nắng,Không
2023-01-02,Monday,Rau mùi,128.0,Nắng,Không
2023-01-02,Monday,Rau tía tô,99.0,Mưa,Không
2023-01-02,Monday,Cà rốt,80.0,Mưa,Không
2023-01-02,Monday,Củ cải trắng,30.0,Mưa,Không
2023-01-02,Monday,Củ cải đỏ,81.0,Mưa,Không
2023-01-02,Monday,Bí đỏ,52.0,Nắng,Không
2023-01-02,Monday,Bí xanh,87.0,Mưa,Không
2023-01-02,Monday,Bí đao,69.0,Nắng,Không
2023-01-02,Monday,Bí ngô,77.0,Nắng,Không
2023-01-02,Monday,Bí phấn,53.0,Mưa,Không
2023-01-02,Monday,Bí đao,136.0,Nắng,Không
2023-01-02,Monday,Bí ngô,35.0,Nắng,Không
2023-01-02,Monday,Thịt vịt,69.0,Mưa,Không
2023-01-02,Monday,Thịt ngan,14.0,Nắng,Không
2023-01-02,Monday,Thịt ngỗng,75.0,Nắng,Không
2023-01-02,Monday,Thịt chim,9.0,Mưa,Không
2023-01-02,Monday,Thịt thỏ,73.0,Mưa,Không
2023-01-02,Monday,Thịt nai,88.0,Nắng,Không
2023-01-02,Monday,Thịt đà điểu,3.0,Mưa,Không
2023-01-02,Monday,Thịt trâu,71.0,Nắng,Không
2023-01-02,Monday,Thịt dê,192.0,Nắng,Không
